Number, Tribe, Condition, Visibility Range, Metabolism, Intelligent, Aggressive, Covered Distance, Reproduction Counter, Consume Counter, Sickness Counter, Parent A, Parent B, Position, Expelled
1,2,1,2,1,True,False,1,0,0,0,,,"(4, 9)",1
2,2,0,2,3,False,True,1,0,0,1,,,"(2, 3)",0
3,1,1,1,2,True,False,1,0,0,0,,,"(1, 1)",0
4,3,3,2,2,False,True,1,0,0,0,,,"(3, 0)",0
5,2,2,2,2,True,False,1,0,0,0,,,"(5, 6)",1
6,1,1,1,1,True,False,1,0,0,0,,,"(5, 9)",1
7,1,2,2,1,True,False,1,0,0,0,,,"(6, 9)",1
8,1,2,1,3,False,True,1,0,0,0,,,"(3, 7)",0
9,1,1,2,1,True,False,1,0,0,0,,,"(6, 5)",0
10,1,1,2,3,False,True,1,0,0,0,,,"(3, 6)",0
