agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Kondition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,20,0,,,1,1,2,1,1,False,True
2,2,0,0,20,0,,,2,3,3,2,2,False,True
3,6,0,0,20,0,,,3,1,3,3,3,True,False
4,0,0,0,20,0,,,2,3,1,2,3,False,True
5,1,0,0,20,0,,,2,2,3,2,1,False,True
6,1,0,0,20,0,,,2,1,3,3,2,True,False
7,0,0,0,20,0,,,1,1,3,2,2,True,False
8,1,0,0,20,0,,,2,2,1,2,1,False,True
9,2,0,0,20,0,,,1,3,3,2,2,False,True
10,1,0,0,20,0,,,1,1,1,1,2,False,True
11,1,0,0,15,0,8,3,1,0,3,1,1,True,False
12,2,0,0,13,0,5,11,0,0,3,0,0,False,True
13,2,0,0,12,0,9,3,0,1,3,1,1,True,False
14,0,0,0,12,0,10,3,1,0,1,0,1,False,True
15,1,0,0,10,0,2,9,0,1,3,1,1,False,True
16,0,0,0,8,0,3,12,0,0,3,1,0,False,True
17,2,0,0,8,0,6,3,1,0,3,1,1,False,True
18,0,0,0,8,0,12,3,0,0,3,0,0,False,True
19,0,0,0,8,0,15,2,0,1,3,0,0,True,False
20,0,0,0,3,0,17,13,0,0,3,0,0,True,False
21,0,0,0,2,0,13,17,0,0,3,0,0,False,True
