agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B
1,1,0,0,40,0,,
2,3,0,0,40,0,,
3,3,0,0,40,0,,
4,5,0,0,40,0,,
5,2,0,0,40,0,,
6,3,0,0,40,0,,
7,4,0,0,40,0,,
8,3,0,0,40,0,,
9,7,0,0,40,0,,
10,4,0,0,40,0,,
11,3,0,0,37,0,10,3
12,1,0,0,31,0,8,9
13,4,0,0,30,0,1,6
14,1,0,0,30,0,9,7
15,2,0,0,29,0,4,6
16,3,0,0,27,0,2,4
17,2,0,0,27,0,7,10
18,2,0,0,26,0,3,13
19,3,0,0,26,0,6,4
20,2,0,0,25,0,11,9
21,2,0,0,25,0,18,19
22,0,0,0,23,0,17,18
23,2,0,0,23,0,19,4
24,3,0,0,23,0,20,2
1,1,0,0,20,0,,
2,3,0,0,20,0,,
3,3,0,0,20,0,,
4,1,0,0,20,0,,
5,1,0,0,20,0,,
6,2,0,0,20,0,,
7,3,0,0,20,0,,
8,1,0,0,20,0,,
9,3,0,0,20,0,,
10,1,0,0,20,0,,
25,6,0,0,19,0,2,23
26,2,0,0,19,0,3,3
27,2,0,0,19,0,10,25
28,0,0,0,18,0,23,9
29,1,0,0,18,0,5,11
30,3,0,0,17,0,5,16
31,0,0,0,17,0,15,30
32,2,0,0,17,0,7,10
33,1,0,0,16,0,27,8
34,1,0,0,16,0,30,3
35,4,0,0,15,0,6,3
36,3,0,0,15,0,32,9
37,2,0,0,14,0,13,21
38,1,0,0,14,0,21,13
39,1,0,0,14,0,9,35
40,0,0,0,14,0,29,2
41,2,0,0,14,0,33,7
42,2,0,0,14,0,35,20
43,3,0,0,13,0,25,37
44,1,0,0,13,0,26,11
45,1,0,0,13,0,38,4
46,2,0,0,13,0,41,9
47,2,0,0,12,0,24,46
48,0,0,0,12,0,8,35
49,2,0,0,12,0,34,6
50,1,0,0,12,0,46,24
51,3,0,0,11,0,1,7
52,3,0,0,11,0,37,25
53,1,0,0,11,0,39,19
54,1,0,0,11,0,42,9
55,1,0,0,11,0,44,7
56,1,0,0,10,0,16,47
57,1,0,0,10,0,47,16
58,1,0,0,10,0,52,36
59,0,0,0,10,0,55,24
60,1,0,0,9,0,4,5
61,1,0,0,9,0,45,17
62,0,0,0,9,0,53,2
63,1,0,0,9,0,57,26
64,0,0,0,8,0,54,32
65,0,0,0,8,0,63,30
66,2,0,0,7,0,49,15
67,0,0,0,7,0,51,36
68,0,0,0,7,0,58,27
69,1,0,0,6,0,36,51
70,1,0,0,6,0,43,66
71,1,0,0,6,0,60,13
72,1,0,0,6,0,66,43
73,1,0,0,5,0,69,8
74,1,0,0,5,0,72,25
75,1,0,0,4,0,56,2
76,1,0,0,4,0,71,9
77,1,0,0,4,0,74,42
78,1,0,0,3,0,73,51
79,1,0,0,3,0,75,52
80,2,0,0,3,0,76,79
81,1,0,0,3,0,77,52
82,1,0,0,2,0,61,7
83,1,0,0,2,0,78,10
84,1,0,0,2,0,80,25
85,1,0,0,2,0,81,49
86,1,0,0,1,0,12,80
87,1,0,0,1,0,50,35
88,0,0,0,0,0,82,70
89,0,0,0,0,0,83,14
90,0,0,0,0,0,84,25
91,0,0,0,0,0,85,41
92,0,0,0,0,0,86,9
93,0,0,0,0,0,87,43
