Number,Tribe,Condition,Visibility Range,Reproduction Counter,Consume Counter,Parent A,Parent B,Position
1,2,1,1,0,88,,,"(15, 15)"
2,2,3,3,1,81,,,"(11, 28)"
3,1,2,1,0,94,,,"(13, 3)"
4,1,3,1,3,54,,,"(3, 8)"
5,3,3,3,7,66,,,"(13, 19)"
6,2,3,1,4,61,,,"(10, 34)"
7,1,3,2,2,87,,,"(10, 29)"
8,1,2,3,1,79,,,"(3, 11)"
9,2,1,1,0,81,,,"(13, 2)"
10,3,2,3,3,76,,,"(10, 30)"
11,1,2,2,0,100,,,"(5, 53)"
12,3,3,1,3,76,,,"(3, 6)"
13,2,1,2,2,63,,,"(1, 10)"
14,3,2,1,5,48,,,"(0, 0)"
15,3,2,1,3,77,,,"(9, 13)"
16,3,2,3,8,68,,,"(0, 2)"
17,1,1,1,0,89,,,"(5, 48)"
18,3,3,3,0,97,,,"(10, 33)"
19,2,3,1,2,88,,,"(6, 41)"
20,1,3,1,2,89,,,"(9, 25)"
21,1,2,3,2,95,,,"(10, 35)"
22,1,3,3,3,76,,,"(11, 30)"
23,3,2,2,0,100,,,"(5, 57)"
24,3,3,3,7,73,,,"(3, 8)"
25,3,2,2,6,67,,,"(0, 2)"
26,2,2,2,2,84,,,"(7, 21)"
27,3,1,1,9,60,,,"(1, 0)"
28,3,3,1,3,71,,,"(12, 29)"
29,3,2,3,3,81,,,"(4, 27)"
30,2,1,2,3,68,,,"(14, 12)"
31,3,2,2,0,100,,,"(6, 45)"
32,3,2,1,0,97,,,"(14, 14)"
33,3,1,3,2,68,,,"(2, 7)"
34,3,3,1,0,89,,,"(6, 50)"
35,3,1,3,3,87,,,"(16, 12)"
36,3,2,3,0,98,,,"(5, 54)"
37,2,2,3,4,70,,,"(4, 5)"
38,1,2,2,1,68,,,"(0, 24)"
39,1,1,3,3,63,,,"(16, 11)"
40,1,1,2,2,55,,,"(1, 17)"
41,2,1,2,2,95,,,"(1, 43)"
42,1,2,2,5,51,,,"(8, 7)"
43,3,1,3,4,66,,,"(2, 2)"
44,2,1,1,1,79,,,"(1, 29)"
45,1,1,2,1,63,,,"(10, 16)"
46,3,3,1,4,83,,,"(0, 32)"
47,1,2,3,0,79,,,"(16, 16)"
48,3,3,1,0,87,,,"(11, 39)"
49,2,2,3,3,67,,,"(17, 17)"
50,3,2,2,2,87,,,"(2, 27)"
51,3,1,0,2,19,29,15,"(23, 0)"
52,2,1,0,3,22,6,15,"(7, 40)"
53,3,1,1,2,73,10,25,"(22, 2)"
54,2,0,0,0,5,52,50,"(38, 44)"
55,3,1,1,0,66,10,5,"(12, 18)"
56,2,0,0,0,3,52,41,"(89, 16)"
57,2,1,0,0,27,6,37,"(51, 54)"
