agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,5,0,0,0,,,2,2,1,1,2,False,True
2,0,6,0,0,0,,,1,3,3,1,3,False,True
3,0,9,0,0,0,,,3,2,1,1,2,False,True
4,0,4,0,0,0,,,2,2,3,1,1,False,True
5,1,4,0,0,0,,,2,3,3,3,3,True,False
6,0,7,0,0,0,,,1,2,3,2,2,False,True
7,0,2,0,0,0,,,1,2,1,3,1,True,False
8,0,5,0,0,0,,,2,2,3,2,3,False,True
9,0,6,0,0,0,,,2,1,3,2,2,True,False
10,0,6,0,0,0,,,3,2,3,3,2,True,False
11,0,7,0,0,0,,,3,2,2,3,2,False,True
12,0,4,0,0,0,,,2,1,1,2,3,True,False
13,0,4,0,0,0,,,2,2,3,3,1,False,True
14,1,3,0,0,0,,,1,2,2,3,3,True,False
15,0,7,0,0,0,,,1,1,1,3,2,True,False
16,0,5,0,0,0,,,2,3,1,1,1,True,False
17,0,6,0,0,0,,,3,1,3,3,2,False,True
18,0,6,0,0,0,,,3,1,2,2,2,False,True
19,0,6,0,0,0,,,2,3,1,3,2,False,True
20,0,6,0,0,0,,,2,2,2,2,2,False,True
21,0,3,0,0,0,,,1,1,3,1,1,False,True
22,0,4,0,0,0,,,2,2,2,1,1,False,True
23,0,7,0,0,0,,,3,2,3,3,2,True,False
24,0,0,0,0,16,,,2,1,3,3,1,True,False
25,0,6,0,0,0,,,3,1,2,2,3,False,True
26,0,2,0,0,0,,,1,2,3,2,1,False,True
27,0,4,0,0,0,,,2,1,3,3,1,True,False
28,0,6,0,0,0,,,1,3,1,1,2,False,True
29,0,5,0,0,0,,,3,1,3,2,1,True,False
30,0,3,0,0,6,,,3,3,3,3,3,True,False
31,0,1,0,0,0,5,14,0,1,2,1,1,True,False
