agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Kondition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,3,0,0,40,0,,,1,2,2,1,3,True,False
2,3,0,0,40,0,,,1,3,2,3,3,True,False
3,2,0,0,40,0,,,1,3,3,2,2,False,True
4,3,0,0,40,0,,,1,2,2,1,2,True,False
5,1,0,0,40,0,,,3,3,1,1,2,False,True
6,4,0,0,40,0,,,3,2,3,1,3,False,True
7,7,0,0,40,0,,,3,1,2,2,3,False,True
8,3,0,0,40,0,,,1,1,3,2,2,True,False
9,5,0,0,40,0,,,2,2,3,3,3,False,True
10,8,0,0,40,0,,,3,1,3,3,2,True,False
11,3,0,0,39,0,9,3,0,1,3,1,1,False,True
12,4,0,0,38,0,4,10,1,0,3,1,1,True,False
13,7,0,0,37,0,3,10,1,0,3,1,1,False,True
14,3,0,0,37,0,8,11,0,0,3,0,0,False,True
15,1,0,0,37,0,11,8,0,0,3,0,0,True,False
16,4,0,0,36,0,6,9,1,1,3,1,1,True,False
17,2,0,0,35,0,1,7,1,0,2,0,1,False,True
18,5,0,0,32,0,12,13,0,0,3,0,0,True,False
19,3,0,0,31,0,7,6,1,0,2,0,1,True,False
20,3,0,0,31,0,10,6,1,0,3,1,1,False,True
21,4,0,0,29,0,13,18,0,0,3,0,0,False,True
22,2,0,0,29,0,18,13,0,0,3,0,0,False,True
23,1,0,0,27,0,15,7,0,0,3,0,0,True,False
24,2,0,0,27,0,16,14,0,0,3,0,0,True,False
25,3,0,0,27,0,22,24,0,0,3,0,0,True,False
26,3,0,0,26,0,14,16,0,0,3,0,0,True,False
27,2,0,0,26,0,20,6,1,0,3,0,0,False,True
28,2,0,0,26,0,24,22,0,0,3,0,0,False,True
29,1,0,0,24,0,25,7,0,0,2,0,0,True,False
30,1,0,0,23,0,21,13,0,0,3,0,0,True,False
31,0,0,0,21,0,17,25,0,0,3,0,0,True,False
32,2,0,0,20,0,2,7,0,1,2,1,1,False,True
33,2,0,0,20,0,30,9,0,0,3,1,0,False,True
1,1,0,0,20,0,,,1,3,1,1,2,False,True
2,3,0,0,20,0,,,1,1,1,3,2,True,False
3,4,0,0,20,0,,,3,1,3,2,2,False,True
4,4,0,0,20,0,,,2,3,3,2,3,False,True
5,2,0,0,20,0,,,2,3,3,2,1,False,True
6,1,0,0,20,0,,,3,3,1,3,1,False,True
7,3,0,0,20,0,,,2,1,1,2,2,False,True
8,1,0,0,20,0,,,3,2,3,3,2,False,True
9,5,0,0,20,0,,,1,2,3,2,3,True,False
10,2,0,0,20,0,,,3,1,1,3,2,False,True
34,1,0,0,19,0,19,4,0,0,2,0,1,False,True
35,1,0,0,19,0,32,17,0,0,2,0,0,False,True
36,4,0,0,19,0,4,9,0,1,3,1,1,True,False
37,1,0,0,19,0,9,11,0,0,3,0,1,True,False
38,1,0,0,18,0,23,1,0,0,2,0,0,True,False
39,3,0,0,18,0,3,10,1,0,3,1,1,False,True
40,2,0,0,18,0,5,13,0,0,3,0,0,True,False
41,1,0,0,18,0,10,36,0,0,1,0,0,False,True
42,1,0,0,18,0,36,9,0,0,3,0,1,False,True
43,1,0,0,18,0,37,7,0,0,1,0,0,False,True
44,1,0,0,17,0,5,25,0,0,1,0,0,True,False
45,2,0,0,17,0,26,40,0,0,3,0,0,False,True
46,2,0,0,17,0,38,10,1,0,3,1,0,False,True
47,1,0,0,17,0,39,21,0,0,3,0,0,False,True
48,3,0,0,17,0,40,26,0,0,3,0,0,False,True
49,2,0,0,16,0,28,9,0,0,3,0,0,True,False
50,3,0,0,16,0,6,10,1,0,1,1,0,True,False
51,1,0,0,16,0,7,10,1,0,3,1,1,True,False
52,1,0,0,16,0,45,3,0,0,3,0,0,True,False
53,2,0,0,16,0,46,21,0,0,3,0,0,True,False
54,1,0,0,15,0,33,2,0,0,1,1,0,False,True
55,2,0,0,15,0,49,4,0,0,3,0,0,True,False
56,1,0,0,15,0,51,13,0,0,3,0,0,False,True
57,1,0,0,15,0,53,55,0,0,3,0,0,True,False
58,1,0,0,14,0,2,33,0,0,3,0,0,True,False
59,2,0,0,14,0,8,3,1,0,3,1,1,False,True
60,1,0,0,14,0,35,39,0,0,3,0,0,False,True
61,1,0,0,14,0,55,5,0,1,3,0,0,True,False
62,1,0,0,13,0,1,18,0,0,3,0,0,False,True
63,1,0,0,13,0,52,2,0,1,2,0,0,True,False
64,2,0,0,13,0,59,18,0,0,3,0,0,True,False
65,1,0,0,12,0,41,10,0,0,1,0,0,False,True
66,1,0,0,12,0,56,12,0,0,3,0,0,False,True
67,1,0,0,12,0,58,9,0,0,3,0,0,False,True
68,2,0,0,12,0,62,21,0,0,3,0,0,False,True
69,2,0,0,11,0,47,46,0,0,3,0,0,False,True
70,0,0,0,11,0,50,7,0,0,1,0,0,True,False
71,1,0,0,11,0,66,36,0,0,3,0,0,True,False
72,1,0,0,11,0,67,36,0,0,3,0,0,False,True
73,1,0,0,10,0,60,8,0,0,3,0,0,True,False
74,2,0,0,10,0,65,2,0,0,1,0,0,False,True
75,2,0,0,10,0,71,16,0,0,3,0,0,False,True
76,0,0,0,10,0,72,4,0,1,3,0,0,False,True
77,0,0,0,9,0,27,75,0,0,3,0,0,False,True
78,1,0,0,9,0,54,9,0,0,3,0,0,True,False
79,3,0,0,9,0,75,27,0,0,3,0,0,True,False
80,1,0,0,8,0,29,1,0,0,2,0,1,False,True
81,1,0,0,8,0,48,79,0,0,3,0,0,False,True
82,1,0,0,8,0,78,49,0,0,3,0,0,False,True
83,1,0,0,8,0,79,48,0,0,3,0,0,False,True
84,1,0,0,7,0,73,13,0,0,3,0,0,True,False
85,2,0,0,7,0,81,45,0,0,3,0,0,False,True
86,2,0,0,7,0,82,4,0,0,2,0,0,False,True
87,2,0,0,6,0,68,85,0,0,3,0,0,True,False
88,1,0,0,6,0,84,26,0,0,3,0,0,False,True
89,2,0,0,6,0,85,68,0,0,3,0,0,False,True
90,1,0,0,6,0,86,74,0,0,2,0,0,True,False
91,0,0,0,5,0,43,39,0,0,1,0,0,True,False
92,2,0,0,5,0,44,19,0,0,2,0,0,True,False
93,1,0,0,5,0,88,12,0,0,3,0,0,True,False
94,2,0,0,5,0,90,79,0,0,2,0,0,False,True
95,1,0,0,4,0,57,20,0,0,3,0,0,False,True
96,1,0,0,4,0,92,32,0,0,2,0,0,False,True
97,2,0,0,4,0,93,9,0,0,3,0,0,True,False
98,2,0,0,4,0,94,86,0,0,2,0,0,False,True
99,1,0,0,3,0,34,2,0,0,2,0,1,False,True
100,2,0,0,3,0,42,59,0,0,3,0,0,True,False
101,0,0,0,3,0,74,94,0,0,2,0,0,True,False
102,1,0,0,3,0,87,98,0,0,3,0,0,True,False
103,1,0,0,3,0,89,100,0,0,3,0,0,True,False
104,1,0,0,3,0,95,16,0,0,3,0,0,True,False
105,0,0,0,3,0,98,87,0,0,2,0,0,False,True
106,1,0,0,2,0,69,50,0,0,3,0,0,False,True
107,0,0,0,2,0,80,19,0,0,2,0,0,False,True
108,2,0,0,2,0,97,7,0,0,3,0,0,False,True
109,1,0,0,2,0,99,53,0,0,2,0,0,False,True
110,1,0,0,2,0,100,89,0,0,3,0,0,True,False
111,1,0,0,2,0,103,12,0,0,3,0,0,True,False
112,0,0,0,2,0,104,92,0,0,3,0,0,False,True
113,0,0,0,1,0,61,10,0,0,3,0,0,False,True
114,0,0,0,1,0,63,4,0,0,2,0,0,True,False
