agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Condition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,0,0,0,20,1,,,2,3,2,1,3,True,False
2,1,0,0,20,0,,,2,1,2,1,3,False,False
3,2,0,0,20,0,,,2,2,2,3,3,False,False
4,3,0,0,30,0,,,3,1,1,3,1,True,False
5,2,0,0,30,0,,,3,2,2,3,1,False,False
6,0,0,0,10,0,,,1,3,1,1,1,False,False
7,3,0,0,10,0,,,1,3,2,3,3,False,False
8,4,0,0,10,0,,,1,2,2,1,3,False,False
9,1,0,0,20,0,,,2,3,3,1,2,True,False
10,5,0,0,20,0,,,2,1,1,1,2,True,False
51,0,0,0,7,5,3,10,1,0,1,1,1,True,False
52,1,0,0,0,0,8,7,0,1,2,1,1,True,False
53,0,0,0,4,0,10,3,1,0,1,1,1,False,True
54,0,0,0,4,0,10,4,1,0,1,1,0,False,True
55,0,0,0,3,3,4,10,1,0,1,0,0,True,False
56,0,0,0,3,0,10,4,1,0,1,0,0,True,False
57,0,0,0,0,2,52,5,0,0,2,1,0,True,False
58,0,0,0,1,0,5,2,1,0,2,1,1,False,True
59,0,0,0,0,1,8,7,0,1,2,1,1,True,False
60,0,0,0,0,0,7,8,0,1,2,1,1,False,True
61,0,0,0,0,0,9,8,0,1,2,0,1,False,True
